user_id,category_id,ads
2,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
6,815,"[2334757, 2678043, 2872606, 2872597, 2843187, 2706806, 2873203, 2873197, 2872868, 2872646]"
14,811,"[2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968, 2823276, 2861011, 2203425]"
14,800,"[2870637, 2858397, 2856196, 2853645, 2851209, 2836593, 2802819, 2446044, 2131857, 1745543]"
17,815,"[2586967, 2649742, 1906861, 1455705, 944709, 868260, 812533, 808507, 646376, 503875]"
20,811,"[2372231, 218776, 965678, 2256726, 2899362, 2624021, 2753896, 2881080, 2307351, 2817979]"
20,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
20,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
24,800,"[868113, 2863676, 2857783, 2853754, 2849939, 2634221, 2499335, 2200754, 1940446, 1516192]"
24,888,"[1187656, 2836219, 2668679, 2808111, 2803057, 2712171, 2672100, 2820530, 2761443, 2719566]"
28,815,"[2807203, 2753179, 2704300, 2756667, 2234932, 2550582, 279240, 2179870, 852891, 2863671]"
28,853,"[2854872, 2848848, 2864974, 2859352, 2533670, 2851171, 2851149, 2847410, 2785489, 2828129]"
35,806,"[2873509, 2870851, 2843069, 2809690, 2644663, 2862990, 2862461, 2761235, 1436465, 2757419]"
35,888,"[2750878, 2872893, 2872790, 2872073, 2870128, 2716075, 2866079, 2814698, 2740665, 2057935]"
48,888,"[2854198, 1890616, 1737014, 1425720, 2833202, 2827386, 2825654, 2822623, 2831835, 2765840]"
48,881,"[2847241, 490547, 2648851, 1754006, 2834276, 2824131, 2195224, 2794985, 2775011, 1927020]"
48,853,"[2851296, 1323337, 2845310, 2823160, 2742158, 2812808, 2811598, 1587258, 2790825, 2432421]"
48,815,"[577086, 1972087, 1492611, 2827590, 2844126, 2837837, 2841844, 2841069, 2651809, 2837048]"
