category_id,ads
362,[2909301]
362,"[2908624, 2872788, 2839263, 1572007]"
362,"[1395030, 2912030, 1398768, 1909157, 2763601, 2808575, 2913375, 700725]"
362,"[2915296, 2909301]"
362,[2900061]
362,[2865240]
362,[1340355]
362,"[844074, 2865924, 2900594, 2178160, 2288876]"
362,"[384520, 894031, 578415]"
362,[2876845]
362,"[699886, 436187]"
362,"[2705180, 2677636, 2034539]"
362,"[2873173, 2865737, 2030904, 2898603]"
362,"[2793710, 103374, 1539821]"
362,"[233516, 2832711]"
362,[2810060]
362,"[1566582, 2687574]"
362,[2772730]
362,[2490884]
362,[2546950]
362,"[2817218, 2187120, 1210114, 2787585]"
362,[2625546]
362,"[2860972, 1973343, 2782862, 176513, 1702207, 2586139, 2860972, 1973671, 2318529, 2796895]"
362,"[595482, 1898167]"
362,"[2224762, 1592136]"
362,[2917647]
362,[2047101]
362,[2404948]
362,[442156]
362,"[2452277, 1467979]"
362,[519422]
362,[2831264]
362,[2902543]
362,[2300750]
362,"[2450500, 2858015]"
362,[2888779]
362,[1955903]
362,"[1995861, 2910290, 2139431, 2317840, 1495320, 567117]"
362,"[2451503, 2392797, 2400441, 2560524, 851938, 1742786, 2268784, 2149401, 2092593, 978708]"
362,"[2866765, 606098]"
362,"[2800164, 2669657, 2723667, 1050958, 2891341, 2844488]"
362,"[647455, 2220503]"
362,"[607842, 394923, 2665951]"
362,"[2715650, 2113773, 2110151, 1239293, 2248455]"
362,"[2833175, 2880152, 1250159, 2092147, 2371784, 1262216, 2714338]"
362,"[1192835, 2669657, 2137557, 1009782, 2437215, 1363925, 2014436, 147655, 1496367]"
362,[2896750]
362,[2780702]
362,"[581958, 2887035, 2029674]"
362,"[714095, 699886, 1608555, 1783748, 2328899]"
362,[742981]
362,"[1179629, 644806]"
362,[2829310]
362,"[2853312, 2850969, 2774291]"
362,[2810177]
362,[1944980]
362,"[2276176, 2807545]"
362,"[2380762, 2124692, 2293894, 2409374, 851938, 2708896, 2828831, 2828827, 1899911, 2866371]"
362,"[1650059, 1722234]"
362,"[2172566, 2091249, 2284086, 373025]"
362,[2795539]
362,[2905313]
362,[1956633]
362,"[2460200, 1376018, 2359171, 2170652, 468981, 2693549]"
362,[2912794]
362,[2784073]
362,"[2426467, 2666236]"
