user_id,category_id,ads
1,859,"[1806476]"
3,800,"[2131700, 2734107, 2877209, 2877209]"
4,815,"[2883211]"
7,815,"[2429412, 2886810, 2886804]"
7,362,"[2909301]"
7,806,"[89573]"
7,853,"[2182646]"
8,800,"[2910937, 2836340, 2884417]"
13,887,"[2679430, 1664304]"
15,887,"[1864397, 2913442, 1801396]"
15,800,"[2691952]"
15,815,"[2726576]"
15,853,"[2070408, 2866207, 2841786]"
15,888,"[1954725, 2368264, 2819220, 2039982]"
18,811,"[2882642, 2894705, 2915325, 2905871]"
18,815,"[2916864]"
18,888,"[2917374]"
18,800,"[2879268, 2827203, 2887420, 2002760, 2829641, 2874015, 710159, 2707989, 2897284, 2916683]"
19,806,"[1429720, 2582177, 2357783, 2208312, 2874389]"
19,887,"[2747702, 2256861, 2166462]"
21,800,"[2872250, 2891207, 1319523]"
21,859,"[2826112]"
21,806,"[2881396]"
22,800,"[1114679, 2735124, 2204766]"
22,853,"[2838258]"
22,815,"[992440, 2683198]"
23,800,"[2444544]"
25,815,"[2876158, 1627702, 2873118, 1410855, 2810945, 2838474]"
26,853,"[2197000, 1156771]"
31,800,"[1658735]"
31,806,"[2839143]"
33,362,"[2908624, 2872788, 2839263, 1572007]"
33,815,"[2093913]"
33,806,"[2141808, 2896836]"
33,853,"[2912908]"
33,800,"[2881045]"
34,815,"[2887074]"
36,815,"[648862, 2576120, 2128994]"
37,815,"[1664556, 524600, 2900633]"
37,887,"[2699889]"
37,881,"[1643591, 2837271]"
37,811,"[2200355]"
37,800,"[2408333]"
39,806,"[1231564, 1561507]"
40,806,"[2473669, 2913737, 413223]"
41,853,"[2071467]"
41,887,"[2167773]"
41,815,"[1945910, 1241334, 2877103]"
44,815,"[2914529]"
46,815,"[2051291]"
46,881,"[2884473]"
46,806,"[2065895]"
46,887,"[2510864, 2914199, 2261263]"
47,806,"[2733287, 2864708, 2828253, 2847598, 2237597, 2048791]"
50,806,"[2897274, 2232831]"
50,888,"[2870459, 2894205, 2530547]"
52,806,"[2140749, 2884759]"
53,853,"[2340688]"
53,815,"[2775387]"
54,811,"[2497155, 2745207, 2832101, 2817485, 2887235]"
57,887,"[2875279]"
57,815,"[2843400]"
58,800,"[2841109, 2893005, 2870744, 2791726, 2785676]"
59,800,"[2699882, 2777717]"
62,888,"[2738858, 2738858]"
62,815,"[2693427, 2853101]"
63,800,"[2705642, 2375502]"
64,853,"[2577880]"
68,815,"[463395]"
70,806,"[1387758]"
73,811,"[2869845]"
75,800,"[2236870]"
78,888,"[2877190]"
78,815,"[2697002, 1494953, 2865285, 2724322]"
80,800,"[2861617, 2870964]"
82,815,"[2828661, 2895217]"
83,888,"[2903643]"
84,815,"[1180472, 1128070]"
84,888,"[691202, 2902535]"
86,815,"[2909449]"
87,881,"[2247681]"
87,362,"[1395030, 2912030, 1398768, 1909157, 2763601, 2808575, 2913375, 700725]"
88,806,"[1394927]"
88,881,"[2573285]"
88,888,"[2609079, 2451050, 2360846, 2738151, 2287060]"
89,800,"[2803258]"
91,800,"[1584347, 880869, 2860903, 2849670, 2802117, 2875058]"
95,800,"[1239094]"
98,859,"[2784222]"
99,881,"[860458, 2679177, 2813950, 2734763, 1518505, 2837947, 2536418, 2488948]"
101,806,"[2900177, 2826229, 2516964, 2902762, 2673637]"
102,811,"[2899362]"
105,806,"[2856991, 960313, 1473645]"
106,800,"[2879024]"
108,811,"[2496989, 2749106]"
108,800,"[2620870]"
109,815,"[2616234, 2860605, 1970181]"
110,815,"[2889975, 2555286, 2066909, 1132636]"
110,853,"[2042990]"
112,881,"[1784793, 2871553]"
112,859,"[1316115]"
116,853,"[2890663]"
119,815,"[2836439, 2583044]"
119,800,"[948940]"
122,815,"[2898409, 2776256, 2902189]"
127,806,"[2858435]"
128,800,"[2664431]"
130,815,"[2884906, 2843078, 2634557]"
130,888,"[2913739]"
132,859,"[1907985]"
132,362,"[2915296, 2909301]"
132,806,"[2820369]"
132,815,"[2828842]"
132,800,"[2808566, 2708258]"
133,815,"[2557211, 2885602, 2018519, 1982713]"
133,859,"[1305313]"
135,887,"[2802284]"
136,881,"[2177495, 2603501, 2763873, 2851988, 1361499, 2003155]"
138,811,"[2852553]"
138,815,"[2883600]"
140,853,"[2900254]"
141,888,"[2108389]"
150,815,"[144186, 2849374, 1216718]"
152,853,"[2872856]"
152,815,"[2872200]"
152,806,"[2859354]"
152,800,"[2646049]"
157,881,"[2870493]"
158,800,"[2442520]"
158,806,"[164800]"
159,887,"[2833567]"
160,811,"[1991215]"
163,811,"[2879402]"
164,800,"[606200]"
166,815,"[2909535]"
171,806,"[1916733]"
172,800,"[2815286]"
175,806,"[2654788]"
176,800,"[2113132]"
179,806,"[2883448]"
180,853,"[2019625]"
180,815,"[2794186]"
181,811,"[2891031, 1525571, 550878]"
181,362,"[2900061]"
181,800,"[2891091]"
181,806,"[2895160]"
185,815,"[2452699]"
189,888,"[2892506]"
189,806,"[2818625]"
190,811,"[1970721, 2785326]"
193,800,"[1411931, 2911495]"
197,815,"[2416077]"
198,859,"[2260160]"
198,800,"[1151053, 1115302, 1115302]"
202,806,"[2758792]"
204,800,"[2196057, 2436466]"
206,853,"[2880440]"
216,815,"[2890215]"
216,853,"[2887805]"
217,806,"[2370797]"
217,800,"[2872873, 2896699, 2632250, 2163367, 2886246, 2873318, 2894054]"
217,815,"[1976706, 2836829, 2735902, 2835459, 2722677, 2885941, 2825449, 1627558, 2723986, 2716189]"
217,888,"[1839727, 2126844, 2897251]"
218,815,"[1990851, 2895577, 2611143, 2808751, 2893886, 2520710]"
221,806,"[2890205]"
223,806,"[2917565, 1532016, 1225428, 1658273, 1790790]"
223,811,"[2191112]"
223,800,"[1920439, 2888504, 2873676, 2903396, 2678709, 2784059, 2917863]"
223,362,"[2865240]"
223,815,"[2804526]"
223,888,"[2908699, 2914572]"
